iter	Passed	Remaining
0	2434	119278
1	4633	111207
2	6831	107030
3	9189	105680
4	11388	102498
5	13498	98987
6	15788	96987
7	17947	94225
8	20033	91261
9	22204	88819
10	24329	86258
11	26521	83983
12	28927	82332
13	31218	80276
14	33461	78077
15	35683	75827
16	38053	73868
17	40197	71462
18	42376	69140
19	44745	67118
20	46916	64789
21	48950	62300
22	51378	60314
23	53645	58115
24	55772	55772
25	58090	53622
26	60289	51358
27	62425	49048
28	64507	46712
29	66513	44342
30	68702	42107
31	70796	39822
32	73020	37616
33	75172	35375
34	77371	33159
35	79495	30915
36	81585	28665
37	83727	26440
38	85821	24206
39	87935	21983
40	90252	19811
41	92422	17604
42	94689	15414
43	96879	13210
44	98978	10997
45	101193	8799
46	103311	6594
47	105572	4398
48	107769	2199
49	109838	0
